"Hospital Name","Hospital Number","Hospital address","O2units Available","ICU with ventilators","Last Updated"
" Shri Vinayak Hospital,Manchar ambegaon","Phone: 9850125517","Address: Mulewadi road,Manchar","1","1","Last updated 9 months ago"
" Bhakt Niwas, Devsthan Trust","Phone: 9272272727 ,9423039139","Address: Ozar","0","0","Last updated 10 months ago"
" RH Rui","Phone: 9890510426","Address: Pune","14","2","Last updated 10 months ago"
" SDH Baramati","Phone: 9689154522","Address: Pune","50","0","Last updated 10 months ago"
" Dr Babasaheb Ambedkar Dehuroad Cantonment General Hospital Dehuroad","Phone: 8275111131 02027671210","Address: Dehuroad","32","0","Last updated 10 months ago"
" Rh Alandi","Phone: 8007529199","Address: alandi pune","24","0","Last updated 10 months ago"
" Medical College Campus ,Baramati","Phone: 8766437980","Address: Baramati","0","0","Last updated 10 months ago"
" Shreenath Hospital wadki","Phone: 8888842195","Address: Wadki,Pune saswad road tal-haveli,dist-pune","4","0","Last updated 10 months ago"
" Shantabai Deshpande Hospital Baramati","Phone: 9225500902","Address: Baramati","30","0","Last updated 10 months ago"
" RH Nimgaon Ketki","Phone: 9657002025","Address: Rural Hospital Nimgaon ketki","15","0","Last updated 10 months ago"
" ZP Covid Hospital, Hinjewadi, Pune","Phone: 9867796743","Address: Hinjewadi, Pune","49","0","Last updated 10 months ago"
" Pushpalaxmi Hospital, Daund","Phone: 9545019848","Address: Daund","17","3","Last updated 10 months ago"
" RH Chandoli","Phone: 7887375649","Address: Khed","31","0","Last updated 10 months ago"
" Surya Multispeciality Hospital, Chakan","Phone: 96377 39778","Address: CHAKAN, TALUKA KHED","8","1","Last updated 10 months ago"
" Lenyadri Hospital","Phone: 8275964116","Address: Pune","0","0","Last updated 10 months ago"
" Shree Hospital Shirur","Phone: 9096729839","Address: karandi shirur pune","6","0","Last updated 10 months ago"
" Jagannath Hospital Baramati","Phone: 9860885508","Address: Baramati","19","0","Last updated 10 months ago"
" SDH Manchar Ambegaon","Phone: 02133 223152","Address: Manchar Pune","56","11","Last updated 10 months ago"
" Karegaon MIDC Hall, Shirur","Phone: 9921672119","Address: Shirur","0","0","Last updated 10 months ago"
" Pawana Hospital, somatane phata","Phone: 9673984212 ,9028009048","Address: Maval","60","3","Last updated 10 months ago"
" RH Saswad","Phone: 9373943534","Address: Pune","0","3","Last updated 10 months ago"
" Lotus Multispeciality Hospital, Manjari, Haveli","Phone: 9860085057","Address: Manjari, Haveli","11","3","Last updated 10 months ago"
" Bhakti Hospital Sanaswadi","Phone: 9975709871","Address: Sanaswadi, Shirur, Pune","10","0","Last updated 10 months ago"
" SIDDHIVINAYAK HOSPITAL NARHE","Phone: 7020086597","Address: NARHE RD , BEHIND NAVALE HOSPITAL, NARHE","0","0","Last updated 10 months ago"
" MAHESH SMRUTI Multi Specialty HOSPITAL SHEWALWADI","Phone: 9021028646","Address: SHEWALWADI PUNE","14","6","Last updated 10 months ago"
" SDH Daund","Phone: 8983451788","Address: Sub District Hopital Daund","4","7","Last updated 10 months ago"
" RH Shirur","Phone: 9096165183","Address: RH Shirur","19","0","Last updated 10 months ago"
" SDH Indapur","Phone: 9822494507","Address: Pune","83","4","Last updated 10 months ago"
" Chintamani Hospital, Koregaon","Phone: 9834975542","Address: Koregaon, PUNE","25","2","Last updated 10 months ago"
" Vighnaharta Hospital Narhe","Phone: 8975134242","Address: narhe","12","2","Last updated 10 months ago"
" Dhande Hospital,Junnar","Phone: 8080262001","Address: Alephata,Pune Nashik Highway","11","2","Last updated 10 months ago"
" Shree Shivraj Nursing Home Baramati","Phone: 9890725827 9921725827","Address: Abhinkur Building Nira Road Ksasab Baramati","0","0","Last updated 10 months ago"
" CCC Lonavala","Phone: 8668394551","Address: Lonavala, Pune","0","0","Last updated 10 months ago"
" RH Nhavara Shirur","Phone: 9420840048","Address: RH Nhavara, Shirur, Pune","18","0","Last updated 10 months ago"
" Matoshree Hospital, Manchar ambegaon","Phone: 9284968321, 8208083738","Address: Manchar, Sai Complex, Pimpalgaon Phata, taluka Ambegaon Dist Pune","5","0","Last updated 10 months ago"
" Covid Care Centre Talegaon Dabhade","Phone: 7709299066","Address: National institute Of post harvest technology vadgaon pune","0","0","Last updated 10 months ago"
" Shree Chaitanya hospital Baramati","Phone: 8805418100","Address: Baramati","22","0","Last updated 10 months ago"
" Dhakne Hospital Talegaon Dabhade","Phone: 9822373869","Address: Talegaon Dabhade","15","0","Last updated 10 months ago"
" Arogya Criticare Hospital Baramati","Phone: 9623649936","Address: Baramati","9","1","Last updated 10 months ago"
" Siddhivinayak Hospital, Nasrapur","Phone: 9623331574","Address: Nasrapur, Pune","5","0","Last updated 10 months ago"
" Covid Care Center Tolani, Indori Hospital","Phone: 8149149390","Address: Covid Care Center Tolani, Indori, Taluka Maval, Talegaon","0","0","Last updated 10 months ago"
" CCC Janseva Foundation,Ranawadi(Velha)","Phone: 9423802095","Address: AT Janseva Foundation,Ranawadi,Tal Velha Dist Pune","0","0","Last updated 10 months ago"
" RH Velhe","Phone: 8624953002","Address: Velhe, Pune","28","2","Last updated 10 months ago"
" CCC Velha ITI Kondhawale","Phone: 9423802095","Address: At Kondhawale,post Antroli Tal Velha Pune","0","0","Last updated 10 months ago"
" Sparsh Hospital, somatane phata","Phone: 9579894848","Address: Maval, Pune","0","3","Last updated 10 months ago"
" Talawade hospital","Phone: 8788740927","Address: dehugaon vitthalwadi","10","2","Last updated 10 months ago"
" Shree Hospital (Shikrapur)","Phone: 8308838989","Address: chakan chowk ,talegaon road , shikrapur","10","0","Last updated 10 months ago"
" Shree Hospital, Shikrapur","Phone: 8308838989","Address: chakan chowk, talegaon road, Shirkrapur","10","0","Last updated 10 months ago"
" Manchar City Hospital Manchar Ambegaon","Phone: 7447430043","Address: Manchar City Hospital Manchar Ambegaon","5","1","Last updated 10 months ago"
" RH Kale Colony","Phone: 9421000077","Address: Kale Colony,MAVAL","3","0","Last updated 10 months ago"
" Pyramid Hospital Daund","Phone: 9326444168","Address: Sahakar Chowk, Daund","0","1","Last updated 10 months ago"
" PANSARE HOSPITAL,Daund","Phone: 9860011625","Address: Daund, Pune","3","0","Last updated 10 months ago"
" Manisha Hospital, Junnar","Phone: 7558585866","Address: Junnar","5","2","Last updated 10 months ago"
" Jaihind Hospital, Chakan","Phone: 8605195775","Address: Chakan, Pune","18","1","Last updated 10 months ago"
" Onkar Hospital Baramati","Phone: 9822459390","Address: Baramati","12","0","Last updated 10 months ago"
" Baramati Hospital, Baramati","Phone: 7249130009 9422011360","Address: Baramati","39","0","Last updated 10 months ago"
" MIMER Hospital","Phone: 8087099040, 02114308380, 02114308386","Address: Yashwant Nagar Rd, Yashwant Nagar, Talegaon Dabhade, Maharashtra 410507","126","4","Last updated 10 months ago"
" RUBY HALL CLINIC, Hinjawadi","Phone: 954521331","Address: Rajeev Gandhi Infotech Park, MIDC Phase No 1, Plot No, P-33, Hinjawadi - Wakad Rd, Pune, Maharashtra 411057","8","0","Last updated 10 months ago"
" Mahesh Memorial Hospital, Alephata Junnar","Phone: 9552304597","Address: junnar","3","0","Last updated 10 months ago"
" Malegaon Covid Care Center","Phone: 7588955736","Address: Malegaon","0","0","Last updated 10 months ago"
" Vighnaharta Multispeciality Hospital, Narayangoan","Phone: 9011301961","Address: Savleram Market, 1st and 2nd Floor, Pune Nashik Highway, Narayangaon Tal Junnar, Pune","5","0","Last updated 10 months ago"
" Harjeevan Hospital, Bholawade, Bhor","Phone: 9022219098 ,9552414151","Address: Bholawade, Bhor","7","3","Last updated 10 months ago"
" khaire hospital Narayangaon","Phone: 9822331088","Address: Hanuman chauk.Narayangaon Tal junnar Dist pune","3","0","Last updated 10 months ago"
" Shri Sant Tukaram Hospital Dehuroad","Phone: 9763095350","Address: 104,East Mumbai Pune Road,Dehuroad.Pune- 412101","14","0","Last updated 10 months ago"
" Dr Babasaheb Cantonment General Hospital Dehuroad/Covid Care Center MG School MB Camp Dehuroad","Phone: 9011062329","Address: Dehuroad","6","0","Last updated 10 months ago"
" CT NURSING HOME ( Dhanori )","Phone: 8888405204","Address: 16, Shree Ram Pride, Dhanori Rd, Madhav Nagar, Dhanori, Pune, Maharashtra 411015","15","0","Last updated 10 months ago"
" Ranka Hospital ( Swargate )","Phone: 9503606607, 7387601495","Address: 157 / 5, SS Dhage Rd, Mukund Nagar, near Swargate, Pune, Maharashtra 411037","25","0","Last updated 10 months ago"
" Sai Samarth Hospital ( Kasba Peth )","Phone: 9923322903","Address: survey No 1486, Near Daruwala Pool, Kasba Perth, Pune - 411011","12","1","Last updated 10 months ago"
" Universal Hospital ( Shaniwar wada )","Phone: 02024578899/ 8888288880","Address: 1420 , Kasba Peth, near Shaniwar, Wada, Pune, Maharashtra 411011","25","5","Last updated 10 months ago"
" Bharatiya Jain Sanghatana(BJS), Wagholi","Phone: 9881595781/9850218999/9970340801","Address: Pune","0","0","Last updated 10 months ago"
" Suryakant Hospital, Junnar","Phone: 9975564133","Address: Junnar","19","0","Last updated 10 months ago"
" Deokate Hospital Baramati","Phone: 9049374040","Address: Baramati","4","2","Last updated 10 months ago"
" SAYALI NURSING HOME KONDWE DHAWADE","Phone: 9822936400","Address: KONDWE DHAWADE NR TELEPHONE EX","10","0","Last updated 10 months ago"
" Matruchhaya Hospital Shirur","Phone: 9960922091","Address: Sushila park shirur 412210","10","1","Last updated 10 months ago"
" Surya Hospital, Shikrapur","Phone: 8792123461","Address: Shikrapur, Pune","26","6","Last updated 10 months ago"
" Vedant Hospital, Shirur, Pune","Phone: 9860899858","Address: Shirur, Pune","24","4","Last updated 10 months ago"
" Sanjivani Hospital,Lonavala","Phone: 9923520254","Address: Sanjivani Hospital,Lonavala","19","2","Last updated 10 months ago"
" Anandi Jumbo Covid Care Center, Khalad","Phone: 8847710966","Address: taluka Purnadar, Pune","50","0","Last updated 10 months ago"
" Aadhar Multispecialty Hospital","Phone: 7038277196","Address: Behind Rajgurnagar Bank, old Pune mumbai Highway dehu road, Pune","23","1","Last updated 10 months ago"
" Gorad Hospital Baramati","Phone: 9096044482","Address: Baramati","16","0","Last updated 10 months ago"
" Spandan Hospital, Alephata, Junnar","Phone: 9960980990","Address: alephata, junnar","13","0","Last updated 10 months ago"
" sanjivani hospital, manchar Ambegaon","Phone: 8624033223","Address: Manchar","9","0","Last updated 10 months ago"
" K K Multispeciality Hospital, Alandi","Phone: 9890364104","Address: Alandi Pune","0","2","Last updated 10 months ago"
" District Hospital Aundh Pune","Phone: 02029517760","Address: Pune","31","9","Last updated 10 months ago"
" SHREEYASH MULTISPECIALITY HOSPITAL KIRKATWADI","Phone: 9819061310","Address: KIRKATWADI Singhroad Pune","10","0","Last updated 10 months ago"
" Om Hospital somatane phata","Phone: 9371333533","Address: Somatne Phata","7","1","Last updated 10 months ago"
" Sushrut Hospital Rajgurunagar","Phone: 8888205884","Address: Sushrut hospital, Oposite to Hutatma Rajguru mahavidyalay, Pune Nashik Highway pune","10","1","Last updated 10 months ago"
" Mahavir Hospital Kamshet","Phone: 9096355765 ,9822403422","Address: Kamshet","14","3","Last updated 10 months ago"
" Chiatanya Hospital Koregaon Bhima Shirur","Phone: 7507077608 9969595757 7709442323","Address: Pune Nagar Road, Koregaon Bhima, Tal Shirur","8","0","Last updated 10 months ago"
" Adhar Hospital, Shingave Avasari Budruk Ambegaon","Phone: 9975051000","Address: Avasari Budruk Ambegaon","11","0","Last updated 10 months ago"
" LIFELINE HOSPITAL WAGHOLI","Phone: 9923337166","Address: WAGHOLI","20","1","Last updated 10 months ago"
" Giridhar Hospital & Maternity Home","Phone: 9423580971","Address: Narhe Omkar Heights Bhmkar Nagar","1","0","Last updated 10 months ago"
" Langhe Hospital, Shikrapur","Phone: 9975056908 9975601969","Address: Shikrapur","23","5","Last updated 10 months ago"
" Khomane Hospital Baramati","Phone: 9665791529","Address: Baramati","10","0","Last updated 10 months ago"
" Vivekanand Hospital, Bhosari","Phone: 8956355554","Address: Surya Heights, Nashik - Pune Hwy, Vitthal Arcade, Gavhanevasti, Bhosari, Pimpri-Chinchwad, Maharashtra 411039","9","0","Last updated 10 months ago"
" Omkar Khalane Hospital, Rahatani","Phone: 9921190078","Address: Ujwala health care's Omkar Khalane hospital, Survey No. 16/3,1, Aundh ravet Rd, Opp. Park Street, Rahatani, Pune- 411017","17","0","Last updated 10 months ago"
" Sabale Superspeciality Hosp, Bhosari","Phone: 9822004630","Address: Pune - Nashik Highway, Sai Venkata Trade Centre, Bhosari, Pimpri-Chinchwad, Maharashtra 411039","28","0","Last updated 10 months ago"
" Saidham Multispeciality Hospital, Bhosari","Phone: 9922661831","Address: Landewadi Road Bhosari","5","0","Last updated 10 months ago"
" Saileela Hospital, Pimpale Gurav","Phone: 9730651565","Address: Katepuram Chowk, Pimple Gurav","13","0","Last updated 10 months ago"
" Shree Multispeciality Hospital, Bhosari","Phone: 8983326820","Address: Shree Multispeciality Hospital, Bhau Complex Pune Nashik Highway, Dhawadewaasti, Bhosari","20","0","Last updated 10 months ago"
" Brahmhachaitanya Super Sp Hospital, Chinchwad","Phone: 9922553333","Address: Bhoir Colony, Station Road Near Ramkrishna More Sabhagruha, opp. Tata Motors Plant, Pimpri-Chinchwad, Maharashtra 411033","0","3","Last updated 10 months ago"
" Krushnadeep Hospital Kamshet","Phone: 9881824081","Address: Kamshet","8","0","Last updated 10 months ago"
" Gawade Hospital Baramati","Phone: 9860017620","Address: Baramati","24","2","Last updated 10 months ago"
" Walchandnagar,Indapur","Phone: 9404998459","Address: Indapur","0","0","Last updated 11 months ago"
" LifeLine Hospital Baramati","Phone: 9822255076","Address: Baramati","24","0","Last updated 11 months ago"
" SOMTWADI CCC JUNNAR","Phone: 9921413053","Address: Junnar","0","0","Last updated 11 months ago"
" Swasthya Hospital, Khodad Road, Narayangaon","Phone: 9890861966","Address: Narayangoan","6","0","Last updated 11 months ago"
" Tribal Boys Hostel, Moshi (Trust Healthcare)","Phone: 8888442244","Address: Moshi","0","0","Last updated 11 months ago"
" Shraddha Hospital & ICU Daund","Phone: 9049072555","Address: Shalimar Chowk Meera Society Road Daund","1","3","Last updated 11 months ago"
" Waghmode hospital Alephata, Junnar","Phone: 8999275172","Address: Junnar","12","0","Last updated 11 months ago"
" Pioneer Hospital, Somatane, Maval","Phone: 7709328158","Address: Somatane, Maval","20","0","Last updated 11 months ago"
" Shri Someshwar ICU & Hospital Waghalwadi Baramati","Phone: 9623131131","Address: Waghalwadi Baramati","13","2","Last updated 11 months ago"
" Shri Samarth Krupa Health Center, Wakad","Phone: 7798886059","Address: Sadguru Colony No 2 Datta Mandir Road, Opp Alankar jweller, wakad 57","10","0","Last updated 11 months ago"
" Gharkul D-6, Chikhali (Icon Hosp)","Phone: 9561023231","Address: Gharkul, Chikhali","0","0","Last updated 11 months ago"
" MHADA -11 C, Mahalunge (Bhise Hospital)","Phone: 9169757777","Address: Mahalunge","0","0","Last updated 11 months ago"
" Swami Vivekanand COVID Health Centre, Narayangoan","Phone: 9284283818","Address: Narayangoan","32","0","Last updated 11 months ago"
" Shivneri Hospital, Junnar","Phone: 99600 37604","Address: Alephata , Taluka Junnar","1","0","Last updated 11 months ago"
" SHANTI HOSPITAL SANASWADI SHIRUR","Phone: 9822247636","Address: SANASWADI PUNE NAGAR HIGWAY SHIRUR PUNE","6","0","Last updated 11 months ago"
" Magasvargiy Mulinche Shaskiya Vastigruh Indapur","Phone: 9822494507","Address: No Data Available","0","0","Last updated 11 months ago"
" Magasvargiy Mulinche Shaskiya Vastigruh Shirur","Phone: No Data Available","Address: No Data Available","0","0","Last updated 11 months ago"
" Yashodhara ICU and Trauma Center, Bhigwan","Phone: 9970232482","Address: Bhigwan Taluka Indapur","5","0","Last updated 11 months ago"
" CT Bora Collage Hostel, Shirur","Phone: 8779444196","Address: Shirur","0","0","Last updated 11 months ago"
" Pawar Hospital Baramati","Phone: 8889831973","Address: Baramati","1","0","Last updated 11 months ago"
" Velhe ITI CCC","Phone: 8624953002","Address: Velhe, Pune","8","0","Last updated 11 months ago"
" PAWAR HOSPITAL CHAKAN","Phone: 9004869494","Address: CHAKAN-KHED","0","1","Last updated 11 months ago"
" Onyx Hospital, Chinchwad","Phone: 8087374414","Address: Sr.No. 156 Plot No. 6 Choudahri Vishwa Bijali Nagar Chinchwad","18","4","Last updated 11 months ago"
" Crystal Hospital, Thergaon","Phone: 8483088516","Address: Sr. No 14/16, Ganesh corner Building Near 16, No Bus stop belthikanagr Thergoan Pune 33","15","0","Last updated 11 months ago"
" Z.V.M MULTISPECIALITY HOSPITAL","Phone: 7447499869","Address: K.B. Hidayatullah Road, New Modikhana, Azam Campus Pune","9","2","Last updated 11 months ago"
" Makan Surgical Maternity and Accident Hospital, Old Sangvi","Phone: 2027281175","Address: Makan Surgical Maternity and Accident Hospital, Old Sangvi","21","2","Last updated 11 months ago"
" Mulshi Speciality Hospital,","Phone: 8825190657","Address: Pirangut","5","0","Last updated 11 months ago"
" Shwas Hospital, Chakan","Phone: 7020099620 ,9730900333, 8275455440,8275455440","Address: chakan","18","2","Last updated 11 months ago"
" KK Hospital (Chandan nagar )","Phone: 7030607333","Address: Pune Nagar rd, Chandan nagar Pune 14","10","0","Last updated 11 months ago"
" Mauli Hospital Pabal ,Shikrapur","Phone: 7741889633","Address: Pabal Chowk, Shikrapur","1","0","Last updated 11 months ago"
" Sanchit Hospital Baramati","Phone: 9970522389","Address: Baramati","0","0","Last updated 11 months ago"
" Millenium Hospital Hinjawadi, Tal. Mulshi","Phone: 9890662389","Address: hinjawadi","12","2","Last updated 11 months ago"
" Shree Mangalmurti Hospital Rahatani","Phone: 7769096297","Address: Near Talathi Office, Kalewadi Rahatni","8","0","Last updated 11 months ago"
" Mehata Hospital Baramati","Phone: 9890265918","Address: Baramati","0","0","Last updated 11 months ago"
" Auto-Cluster PCMC","Phone: 7030000170","Address: H-Block, Plot No. C-181 Chinchwad East, Old Mumbai - Pune Hwy, Pune, Maharashtra 411019","91","1","Last updated 12 months ago"
" Kamshet Hospital","Phone: 7517231333","Address: Kamshet","2","0","Last updated 12 months ago"
" Shree Hospital, Varale, Maval","Phone: 9970784634","Address: Varale, Maval","10","0","Last updated 12 months ago"
" Alandi Hospital, Alandi","Phone: 9527042828","Address: Alandi Pune","0","0","Last updated 12 months ago"
" Apeksha Hospital, Charholi","Phone: 9860595667","Address: Alandi Road Chowiswadi, Charoli BK","4","0","Last updated about 1 year ago"
" Trauma Care Center Bhigawan","Phone: 9822494507","Address: Bhigawan, Indapur","60","0","Last updated about 1 year ago"
" Smt Kashibai Navale Medical College(Narhe)","Phone: 9822288512","Address: S.No, 49/1, Mumbai Pune Bypass Rd, Narhe, Pune, Maharashtra 411041","13","0","Last updated almost 2 years ago"
" Golden Care Hospital","Phone: 0","Address: Hinjawadi","0","0","Last updated almost 2 years ago"
